證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
410	SOHO中國	SOHO中国
411	南順（香港）	南顺（香港）
412	山高控股	山高控股
413	南華集團控股	南华集团控股
417	謝瑞麟	谢瑞麟
418	方正控股	方正控股
419	弘毅文化集團	弘毅文化集团
420	福田實業	福田实业
422	越南製造加工出口	越南制造加工出口
423	經濟日報集團	经济日报集团
425	敏實集團	敏实集团
426	萬華媒體	万华媒体
428	中國天弓控股	中国天弓控股
430	東方興業控股	东方兴业控股
431	大中華金融	大中华金融
432	盈大地產	盈大地产
433	北方礦業	北方矿业
434	博雅互動	博雅互动
435	陽光房地產基金	阳光房地产基金
436	新宇環保	新宇环保
438	彩虹新能源	彩虹新能源
439	瀚源控股	瀚源控股
440	大新金融	大新金融
442	域能控股	域能控股
444	SINCEREWATCH HK	SINCEREWATCH HK
450	鴻興印刷集團	鸿兴印刷集团
451	協鑫新能源	协鑫新能源
455	天大藥業	天大药业
456	新城市建設發展	新城市建设发展
458	聯亞集團	联亚集团
459	鋑聯控股	鋑联控股
460	四環醫藥	四环医药
464	中國智能科技	中国智能科技
465	富通科技	富通科技
467	聯合能源集團	联合能源集团
468	紛美包裝	纷美包装
471	中播數據	中播数据
472	新絲路文旅	新丝路文旅
474	信銘生命科技	信铭生命科技
475	中發展控股	中发展控股
476	科軒動力控股	科轩动力控股
480	香港興業國際	香港兴业国际
482	聖馬丁國際	圣马丁国际
483	包浩斯國際	包浩斯国际
484	雲遊控股	云游控股
485	中國華星	中国华星
486	俄鋁	俄铝
487	實德環球	实德环球
488	麗新發展	丽新发展
489	東風集團股份	东风集团股份
491	英皇文化產業	英皇文化产业
493	國美零售	国美零售
495	PALADIN	PALADIN
496	卡森國際	卡森国际
497	資本策略地產	资本策略地产
498	藍河控股	蓝河控股
499	青島控股	青岛控股
500	先豐服務集團	先丰服务集团
501	豪威集團	豪威集团
505	興業合金	兴业合金
506	中國食品	中国食品
508	鼎億集團投資	鼎亿集团投资
509	世紀陽光	世纪阳光
510	時富金融服務集團	时富金融服务集团
511	電視廣播	电视广播
512	遠大醫藥	远大医药
513	恆和集團	恒和集团
515	中華銀科技	中华银科技
517	中遠海運國際	中远海运国际
518	同得仕（集團）	同得仕（集团）
519	諾科達科技	诺科达科技
520	呷哺呷哺	呷哺呷哺
521	CWT INT'L	CWT INT'L
522	ASMPT	ASMPT
524	長城天下	长城天下
525	廣深鐵路股份	广深铁路股份
526	利時集團控股	利时集团控股
527	瑞風新能源	瑞风新能源
528	金達控股	金达控股
529	SIS INT'L	SIS INT'L
532	WKK INTL (HOLD)	WKK INTL (HOLD)
533	金利來集團	金利来集团
535	金地商置	金地商置
536	貿易通	贸易通
538	味千（中國）	味千（中国）
540	迅捷環球控股	迅捷环球控股
542	中國文旅農業	中国文旅农业
543	太平洋網絡	太平洋网络
544	大同集團	大同集团
546	阜豐集團	阜丰集团
547	數字王國	数字王国
548	深圳高速公路股份	深圳高速公路股份
550	律齊文化	律齐文化
551	裕元集團	裕元集团
552	中國通信服務	中国通信服务
553	南京熊貓電子股份	南京熊猫电子股份
554	漢思集團控股	汉思集团控股
556	泛亞環保	泛亚环保
557	天元醫療	天元医疗
558	力勁科技	力劲科技
559	德泰新能源集團	德泰新能源集团
560	珠江船務	珠江船务
563	上實城市開發	上实城市开发
564	中創智領	中创智领
565	錦藝集團控股	锦艺集团控股
567	大昌微綫集團	大昌微线集团
568	山東墨龍	山东墨龙
570	中國中藥	中国中药
571	豐德麗控股	丰德丽控股
572	未來世界控股	未来世界控股
573	稻香控股	稻香控股
574	百信國際	百信国际
575	勵晶太平洋	励晶太平洋
576	浙江滬杭甬	浙江沪杭甬
579	京能清潔能源	京能清洁能源
580	賽晶科技	赛晶科技
581	中國東方集團	中国东方集团
582	神話世界	神话世界
583	長城環亞控股	长城环亚控股
585	意力國際	意力国际
586	海螺創業	海螺创业
587	海螺環保	海螺环保
588	北京北辰實業股份	北京北辰实业股份
590	六福集團	六福集团
591	中國高精密	中国高精密
593	夢東方	梦东方
595	AV CONCEPT HOLD	AV CONCEPT HOLD
596	浪潮數字企業	浪潮数字企业
598	中國外運	中国外运
599	怡邦行控股	怡邦行控股
601	稀鎂科技	稀镁科技
602	佳華百貨控股	佳华百货控股
603	中油燃氣	中油燃气
604	深圳控股	深圳控股
605	中國金融投資管理	中国金融投资管理
606	中駿商管	中骏商管
607	豐盛控股	丰盛控股
608	達利國際	达利国际
609	天德化工	天德化工
610	WAI KEE HOLD	WAI KEE HOLD
611	中國核能科技	中国核能科技
612	嘉文世紀投資公司	嘉文世纪投资公司
613	梧桐國際	梧桐国际
616	高山企業	高山企业
617	百利保控股	百利保控股
618	北大資源	北大资源
619	南華金融	南华金融
620	大唐西市	大唐西市
621	壇金礦業	坛金矿业
622	威華達控股	威华达控股
623	中視金橋	中视金桥
626	大眾金融控股	大众金融控股
627	共生智築	共生智筑
628	通通AI社交	通通AI社交
629	悅達國際控股	悦达国际控股
