161	LITE	Lumentum Holdings Inc.	24.05B	339.19	-4.32%	1.84B
162	GFS	GlobalFoundries Inc.	23.81B	42.85	-4.80%	6.79B
163	NBIS	Nebius Group N.V.	23.80B	94.50	-2.43%	363.30M
164	FLEX	Flex Ltd.	23.58B	63.78	-1.46%	26.33B
165	AFRM	Affirm Holdings, Inc.	23.58B	71.43	-1.94%	3.46B
166	TPG	TPG Inc.	23.57B	62.35	-1.06%	4.26B
167	RPRX	Royalty Pharma plc	23.32B	40.40	0.72%	2.35B
168	VRSN	VeriSign, Inc.	23.23B	250.60	-0.36%	1.63B
169	CASY	Casey's General Stores, Inc.	23.10B	623.33	0.73%	16.97B
170	TROW	T. Rowe Price Group, Inc.	23.05B	105.63	-1.37%	7.21B
171	ILMN	Illumina, Inc.	22.96B	150.28	-2.38%	4.29B
172	RVMD	Revolution Medicines, Inc.	22.74B	117.63	-0.99%	-
173	FUTU	Futu Holdings Limited	22.51B	161.65	-0.22%	2.44B
174	FWONA	Formula One Group	22.49B	81.19	0.94%	4.04B
175	LULU	lululemon athletica inc.	22.41B	191.07	-1.84%	11.07B
176	FWONK	Formula One Group	22.17B	88.69	1.49%	4.04B
177	CYBR	CyberArk Software Ltd.	22.12B	438.22	-1.02%	1.30B
178	CG	The Carlyle Group Inc.	22.09B	61.28	-1.72%	3.21B
179	CHRW	C.H. Robinson Worldwide, Inc.	20.87B	176.66	-0.70%	16.50B
180	SSNC	SS&C Technologies Holdings, Inc.	20.82B	85.31	-0.61%	6.15B
181	GMAB	Genmab A/S	20.67B	33.88	2.36%	3.85B
182	UTHR	United Therapeutics Corporation	20.19B	468.94	-0.66%	3.13B
183	PFG	Principal Financial Group, Inc.	20.04B	91.21	-1.02%	15.80B
184	INCY	Incyte Corporation	20.02B	101.99	-2.92%	4.81B
185	SBAC	SBA Communications Corporation	19.94B	187.16	1.01%	2.79B
186	WWD	Woodward, Inc.	19.62B	327.02	-1.80%	3.57B
187	JBHT	J.B. Hunt Transport Services, Inc.	19.56B	206.75	-1.89%	12.00B
188	RIVN	Rivian Automotive, Inc.	19.55B	15.95	-2.27%	5.84B
189	CHKP	Check Point Software Technologies Ltd.	19.46B	181.23	1.72%	2.68B
190	EXAS	Exact Sciences Corporation	19.41B	102.26	-0.11%	3.08B
191	NTAP	NetApp, Inc.	19.30B	97.42	-1.84%	6.64B
192	PTC	PTC Inc.	19.28B	162.14	-1.56%	2.74B
193	PODD	Insulet Corporation	19.11B	271.60	-3.00%	2.52B
194	MRNA	Moderna, Inc.	19.03B	48.71	-6.09%	2.23B
195	SMCI	Super Micro Computer, Inc.	18.92B	31.70	-2.31%	21.05B
196	GRAB	Grab Holdings Limited	18.72B	4.580	0.66%	3.23B
197	KTOS	Kratos Defense & Security Solutions, Inc.	18.64B	110.39	-3.04%	1.28B
198	IREN	IREN Limited	18.61B	56.68	8.46%	688.55M
199	TTD	The Trade Desk, Inc.	17.68B	36.55	-0.73%	2.79B
200	EVRG	Evergy, Inc.	17.42B	75.69	-0.71%	5.88B
201	ENTG	Entegris, Inc.	17.39B	114.71	-3.22%	3.22B
202	LNT	Alliant Energy Corporation	17.18B	66.83	-0.06%	4.27B
203	TRMB	Trimble Inc.	16.94B	71.19	-0.41%	3.60B
204	LI	Li Auto Inc.	16.87B	16.71	0.12%	17.95B
205	TLN	Talen Energy Corporation	16.74B	366.43	-3.54%	2.34B
206	HOLX	Hologic, Inc.	16.73B	75.05	-0.08%	4.10B
207	MEDP	Medpace Holdings, Inc.	16.56B	588.05	-3.01%	2.36B
208	MTSI	MACOM Technology Solutions Holdings, Inc.	16.45B	219.26	-2.24%	967.26M
209	Z	Zillow Group, Inc.	16.42B	68.00	-0.86%	2.48B
210	CDW	CDW Corporation	16.40B	126.00	-2.56%	22.10B
211	ZG	Zillow Group, Inc.	16.30B	67.34	-0.91%	2.48B
212	OKTA	Okta, Inc.	16.09B	90.76	-0.77%	2.84B
213	COO	The Cooper Companies, Inc.	15.93B	81.29	-1.82%	4.09B
214	WMG	Warner Music Group Corp.	15.84B	30.32	1.57%	6.71B
215	NWS	News Corporation	15.71B	31.10	0.48%	8.50B
216	ROIV	Roivant Sciences Ltd.	15.70B	22.58	-1.70%	20.33M
217	ROKU	Roku, Inc.	15.70B	106.23	-0.93%	4.54B
218	GEN	Gen Digital Inc.	15.67B	25.41	0.75%	4.47B
219	NXT	Nextpower Inc.	15.58B	105.00	-0.17%	3.37B
220	RGC	Regencell Bioscience Holdings Limited	15.53B	31.41	2.08%	-
221	HTHT	H World Group Limited	15.47B	50.28	0.44%	3.48B
222	EWBC	East West Bancorp, Inc.	15.32B	111.35	-3.43%	2.70B
223	AVAV	AeroVironment, Inc.	15.30B	307.75	-1.40%	1.37B
224	VTRS	Viatris Inc.	15.21B	13.21	-0.23%	14.12B
225	NDSN	Nordson Corporation	15.14B	271.28	-0.97%	2.79B
226	FFIV	F5, Inc.	15.06B	259.26	-1.05%	3.09B
227	KSPI	Joint Stock Company Kaspi.kz	15.02B	78.75	0.74%	6.67B
228	BBIO	BridgeBio Pharma, Inc.	15.01B	77.87	-2.55%	353.78M
229	DKNG	DraftKings Inc.	14.92B	29.97	-5.22%	5.46B
230	NWSA	News Corporation	14.92B	26.83	0.37%	8.50B
231	ARCC	Ares Capital Corporation	14.87B	20.78	-0.57%	3.02B
232	GH	Guardant Health, Inc.	14.78B	114.75	-2.16%	902.57M
233	MKSI	MKS Inc.	14.58B	217.06	-2.66%	3.83B
234	TSEM	Tower Semiconductor Ltd.	14.47B	128.62	-1.05%	1.51B
235	ASND	Ascendis Pharma A/S	14.45B	235.39	2.95%	758.59M
236	ERIE	Erie Indemnity Company	14.42B	275.85	-3.33%	4.04B
237	CELH	Celsius Holdings, Inc.	14.42B	55.94	1.27%	2.13B
238	ICLR	ICON Public Limited Company	14.26B	186.87	0.07%	8.10B
239	VNOM	Viper Energy, Inc.	14.25B	39.63	0.89%	1.13B
240	LECO	Lincoln Electric Holdings, Inc.	14.23B	258.64	-0.96%	4.18B
241	DPZ	Domino's Pizza, Inc.	13.90B	411.50	1.52%	4.85B
242	BILI	Bilibili Inc.	13.85B	33.40	-0.09%	4.18B
243	AKAM	Akamai Technologies, Inc.	13.68B	95.08	-2.01%	4.13B
244	NVMI	Nova Ltd.	13.67B	460.91	-0.10%	852.72M
245	NBIX	Neurocrine Biosciences, Inc.	13.58B	136.18	-0.87%	2.68B
246	PAA	Plains All American Pipeline, L.P.	13.54B	19.19	0.26%	46.92B
247	LOGI	Logitech International S.A.	13.47B	93.44	1.78%	4.68B
248	FIGR	Figure Technology Solutions, Inc.	13.44B	62.81	-3.19%	382.60M
249	JKHY	Jack Henry & Associates, Inc.	13.40B	185.11	-1.90%	2.42B
250	REG	Regency Centers Corporation	13.25B	71.14	0.39%	1.58B
251	GLPI	Gaming and Leisure Properties, Inc.	13.22B	45.41	1.11%	1.58B
252	LAMR	Lamar Advertising Company	13.04B	128.70	-0.76%	2.25B
253	HST	Host Hotels & Resorts, Inc.	13.02B	18.70	-0.58%	5.95B
254	IONS	Ionis Pharmaceuticals, Inc.	13.00B	80.29	-1.84%	966.96M
255	PSKY	Paramount Skydance Corporation	12.84B	11.70	-0.68%	28.73B
256	COKE	Coca-Cola Consolidated, Inc.	12.84B	150.21	0.54%	7.07B
257	SMMT	Summit Therapeutics Inc.	12.72B	16.49	-5.07%	-
258	AGNC	AGNC Investment Corp.	12.71B	11.85	0.51%	956.00M
259	TXRH	Texas Roadhouse, Inc.	12.61B	190.65	-0.31%	5.83B
260	GLXY	Galaxy Digital Inc.	12.47B	31.90	3.17%	23.73B
261	HAS	Hasbro, Inc.	12.45B	88.68	-0.08%	4.36B
262	RMBS	Rambus Inc.	12.41B	115.31	-7.58%	678.49M
263	AMKR	Amkor Technology, Inc.	12.29B	49.71	-5.22%	6.45B
264	BSY	Bentley Systems, Incorporated	12.21B	38.84	-0.92%	1.46B
265	ZBRA	Zebra Technologies Corporation	12.19B	240.54	-2.55%	5.26B
266	AGNCM	AGNC Investment Corp.	12.18B	24.82	-0.28%	956.00M
267	ALGN	Align Technology, Inc.	12.11B	168.73	-0.11%	3.98B
268	EXEL	Exelixis, Inc.	11.92B	44.27	-0.52%	2.29B
269	WYNN	Wynn Resorts, Limited	11.69B	113.55	-1.31%	7.11B
270	TEM	Tempus AI, Inc.	11.62B	65.32	-4.45%	1.11B
271	NTNX	Nutanix, Inc.	11.58B	42.81	-0.40%	2.62B
272	LSCC	Lattice Semiconductor Corporation	11.54B	84.33	-1.14%	494.89M
273	DOCU	DocuSign, Inc.	11.51B	57.46	-0.07%	3.16B
274	RNA	Avidity Biosciences, Inc.	10.94B	72.60	-0.19%	20.87M
275	MDGL	Madrigal Pharmaceuticals, Inc.	10.91B	480.45	-3.53%	740.64M
276	DRS	Leonardo DRS, Inc.	10.90B	40.99	-0.70%	3.57B
277	CFLT	Confluent, Inc.	10.89B	30.55	0.07%	1.11B
